Anos;UF;Dívida;PIB;D/P
2005;PB;2494782086.38;16868636.16;147.8947119800822
2006;PB;2283161245.65;19951318.62;114.43660888465125
2007;PB;2086810739.68;22201745.74;93.99309244048663
2008;PB;2189290660.77;25696636.87;85.19755607886286
2009;PB;2058480331.3;28718598.47;71.67760409514163
2010;PB;1931102423.08;31947058.52;60.44695544884237
2011;PB;2579907960.54;35443831.52;72.78863062770816
2012;PB;2931243051.41;38731149.28;75.6817989112354
2013;PB;3089604230.88;46383690.70947775;66.60971094843666
2014;PB;4219267608.73;51510855.69678389;81.91026050055372
2015;PB;4487615052.18;58041860.83774564;77.31687074480607
2016;PB;4458664218.68;65660408.662906624;67.90491118583036
1996;PE;2539669193.2;19997450.7;126.99964767009027
1997;PE;2305879789.84;21989185.26;104.86426680094286
1998;PE;3465570819.9;23270814.37;148.92348693940443
1999;PE;4367333510.51;24878853.99;175.54399862089468
2000;PE;4485480000.0;26959112.38;166.38084877481415
2001;PE;4708277032.2;30245003.46;155.67123470251371
2002;PE;5495348236.8;35251393.01;155.89024340800088
2003;PE;5428639000.0;39308436.48;138.10366135427628
2004;PE;5502141160.36;44010896.58;125.01770215834125
2005;PE;5227413634.42;49921737.35;104.71217373247127
2006;PE;4979614456.9;55493352.94;89.73353010916482
2007;PE;4751350712.01;62255674.85;76.3199615690938
2008;PE;5004445937.14;70440847.4;71.04465834606073
2009;PE;5361516936.03;78428308.14;68.3620119212481
2010;PE;6033972537.53;95186714.09;63.39091117091002
2011;PE;6769684157.09;104393980.4;64.84745701956201
2012;PE;8536903378.5;117340091.5;72.75350879115345
2013;PE;11266419286.52;130233470.01680562;86.50939950433752
2014;PE;13305180454.9;145855670.71281067;91.22155065947251
2015;PE;15720793380.21;163347054.23917907;96.24167055495843
2016;PE;14399206787.22;185663529.62316927;77.55538643720311
1996;PI;1328789163.6;4359145.971;304.8278659260341
1997;PI;1428499236.72;4732517.482;301.8476407436967
1998;PI;1853525831.68;4950422.223;374.41772604130455
1999;PI;2175866948.28;5381138.667;404.35065567508445
2000;PI;2451089229.41;6062725.667;404.2883290516532
2001;PI;2452324164.83;6472664.102999999;378.87400393500695
2002;PI;2923772657.44;7425110.49;393.7682356885709
2003;PI;2707550355.31;8777045.747000001;308.48082980944264
2004;PI;2747815065.24;9816733.108;279.9113549293409
2005;PI;2634764264.42;11129199.51;236.74337602201905
2006;PI;2777217060.72;12788467.17;217.16574971822834
2007;PI;2555550880.84;14135866.87;180.78487186827903
2008;PI;2645768247.09;16760269.37;157.8595300995452
2009;PI;2815206865.78;19032665.02;147.91448611225545
2010;PI;2454034119.43;22060161.22;111.24280076453584
2011;PI;2404424793.59;24606833.12;97.71370341987348
2012;PI;2583164375.44;25720626.47;100.43162745094678
2013;PI;3071213036.61;30152139.125580817;101.85721894618115
2014;PI;3102818558.78;34076783.905329645;91.05373815205361
2015;PI;3972101141.33;37985991.62397119;104.56752533013756
2016;PI;4449613424.67;42673375.79481725;104.27141846158824
1996;PR;2714774210.6;48199433.68;56.32377817182685
1997;PR;2625403635.71;53014378.37;49.522482700573825
1998;PR;2411360364.66;57100728.0;42.22994082772465
1999;PR;9316582805.75;63389042.27;146.97465795534254
2000;PR;8492432806.54;69130749.09;122.84595376630251
2001;PR;9420850921.52;76413389.96;123.28795943291509
2002;PR;12540010420.85;88407089.83;141.84394537772334
2003;PR;13079325460.94;109458895.4;119.49074959274621
2004;PR;14063900606.12;122433708.2;114.86951439178904
2005;PR;14748393667.49;126676818.5;116.4253558159104
2006;PR;15265589521.03;136614664.1;111.74195406911666
2007;PR;14472984372.72;161581811.6;89.57062821246399
2008;PR;15349432610.75;179263160.1;85.62513682224215
2009;PR;14724971543.98;189991948.6;77.5031344879843
2010;PR;14325045541.9;217289676.6;65.92602909649689
2011;PR;14527563425.52;239366010.5;60.69183922635499
2012;PR;14778318557.62;255926607.9;57.74436147488985
2013;PR;15082336317.16;331542591.60734755;45.49139899051736
2014;PR;16878592166.18;372475837.9929276;45.31459612824734
2015;PR;18304240202.15;419228042.20939714;43.66177440250371
2016;PR;18701540528.08;473486087.42085475;39.49755024471769
1996;RJ;8858624026.0;94684066.67;93.55981779780055
1997;RJ;13910376235.99;104424109.0;133.21038952786276
1998;RJ;21576954717.14;114177719.9;188.97692768814872
1999;RJ;23385175202.19;127218907.8;183.81839308787085
2000;RJ;26150524078.35;139754794.7;187.11718717404406
2001;RJ;29690110054.54;152099027.8;195.20249724134
2002;RJ;34846908958.33;171372019.8;203.34071454020406
2003;RJ;39292483754.73;188014994.0;208.9859054258726
2004;RJ;42970505814.97;222944999.5;192.74038848747537
2005;RJ;43959872123.06;247017494.7;177.96258591501294
2006;RJ;45911125143.0;275327182.1;166.75115327452443
2007;RJ;48520063234.72;296767725.2;163.49508088192874
2008;RJ;54515646131.97;343182012.1;158.8534486361268
2009;RJ;52530974391.13;353878135.8;148.44368463842798
2010;RJ;58810056879.68;407122793.8;144.45287214395216
2011;RJ;63126709695.44;462376208.4;136.52672552915897
2012;RJ;70912685389.98;504221370.5;140.63800056641986
2013;RJ;79694614674.74;624911109.278;127.52952138555565
2014;RJ;89861032281.92;701756905.5220736;128.05151124956538
2015;RJ;108526586893.87;784913709.3459117;138.265627930372
2016;RJ;111783128587.03;886083313.2550814;126.15419669329718
1996;RN;553568706.8;6279544.042;88.1542836705213
1997;RN;641498749.51;7101548.363;90.33223696008223
1998;RN;650025215.91;7320394.214;88.7964769256346
1999;RN;897169830.0;8117166.748;110.52746085585281
2000;RN;1081343938.76;9119808.497000001;118.57090410568517
2001;RN;1258337650.0;10343403.58;121.65605260082097
2002;RN;1483867440.0;12197555.65;121.65285263527369
2003;RN;1401288230.0;13515097.41;103.68317648699804
2004;RN;1373473051.37;15580451.73;88.15360909757139
2005;RN;1367249369.82;17869513.48;76.51295998350817
2006;RN;1370882136.21;20554625.32;66.69458162665259
2007;RN;1316269003.6;22925558.53;57.414915404462334
2008;RN;1399889287.17;25481444.62;54.93759510287922
2009;RN;1421633472.16;27904988.65;50.94549544495157
2010;RN;1536302872.19;32338894.71;47.50635066432671
2011;RN;1629075518.06;36103201.63;45.122743815227665
2012;RN;1442969447.2;39543678.54;36.490521379804846
2013;RN;1517600063.54;46252353.36768021;32.81130478866519
2014;RN;1475006780.35;52390345.89586692;28.154171443757605
2015;RN;1585907110.9;58995701.45043756;26.88174005749088
2016;RN;1690601574.8;66466940.06957225;25.435224985991745
1996;RO;513126727.0;3845128.1569999997;133.44853696641042
1997;RO;277554042.59;4488220.008;61.84056086717573
1998;RO;1851440159.15;4798717.018999999;385.81982471969565
1999;RO;1974119859.76;5399619.044;365.60354418958894
2000;RO;1872237809.2;5946137.705;314.86620426325965
2001;RO;1939165853.36;6548811.407000001;296.10958887703384
2002;RO;2757699877.21;7779881.212;354.465550573756
2003;RO;1948782484.86;9750820.212000001;199.85831371003025
2004;RO;2069855846.34;11260421.52;183.8169062022822
2005;RO;2002676171.31;12884045.16;155.4384625666742
2006;RO;1957960818.33;13107443.82;149.37777687381305
2007;RO;2009672861.79;15002731.13;133.9538011030129
2008;RO;2098798233.83;17887796.29;117.33129111065028
2009;RO;1959683944.39;20236193.7;96.84054093581838
2010;RO;2116764336.57;23560643.72;89.8432301649354
2011;RO;2045460722.2;27839144.15;73.47426742642877
2012;RO;2024129035.54;29361935.83;68.93717932153113
2013;RO;2334809912.84;31388697.724681884;74.38377766797468
2014;RO;2408264072.52;35431565.84528684;67.96945082912137
2015;RO;2629838632.42;39862786.772215046;65.97227252192606
2016;RO;2970648347.31;44760073.41490432;66.36826351408142
1996;RR;78600206.03;1187585.231;66.1848968632046
1997;RR;76633323.7;1284108.22;59.67824401902824
1998;RR;88169352.47;1347030.0969999998;65.45462693548117
1999;RR;161056000.0;1569596.5869999998;102.60980517792119
2000;RR;168276778.68;1776655.5690000001;94.71547643571425
2001;RR;198108833.7;2033141.428;97.43977028439164
2002;RR;311404378.16;2312646.508;134.6528218137867
2003;RR;301459982.61;2737003.579;110.142341399547
2004;RR;385253449.39;2811078.6810000003;137.04826264519627
2005;RR;561181654.14;3179286.704;176.51181110340025
2006;RR;551529708.87;3660083.8010000004;150.6877270731649
2007;RR;533128385.59;4168597.738;127.89154029666174
2008;RR;578180185.83;4889299.742;118.25419105793905
2009;RR;721865265.18;5593491.058999999;129.05451310564078
2010;RR;870631291.65;6340601.261;137.31052558140038
2011;RR;963520452.35;6951189.97;138.61230329028112
2012;RR;1549669214.1;7313836.47;211.88185167339407
2013;RR;1762322085.26;8059749.181748537;218.65718715550273
2014;RR;1792156305.65;9105351.169933284;196.82451255343855
2015;RR;1765258753.03;10305695.037674699;171.2896361261142
2016;RR;1730977057.69;11667321.860148817;148.36113020952706
1996;RS;9215137103.1;58807374.76;156.70036522983875
1997;RS;10780340119.46;64991308.69;165.87356581602018
1998;RS;13171120879.55;67673124.64;194.62853163078063
1999;RS;15984646267.96;74015781.63;215.96267601234274
2000;RS;17974267004.73;81814713.67;219.69479814143557
2001;RS;20250085961.02;92310147.15;219.37009728859476
2002;RS;24735291362.24;105486832.9;234.4870035645937
2003;RS;27168790254.04;124551289.6;218.13335166013408
2004;RS;29956721790.11;137830657.0;217.34440248739438
2005;RS;31520963989.37;144218178.5;218.56443006850208
2006;RS;33197477092.5;156826962.3;211.682204422192
2007;RS;34929742876.52;176615038.3;197.7733222082029
2008;RS;38110668301.4;199494213.7;191.03645962740023
2009;RS;36946765318.78;215863879.4;171.15770096171076
2010;RS;40618975971.33;252482596.8;160.87831987685735
2011;RS;43204814526.67;263633397.8;163.8821745924863
2012;RS;47159887841.47;277657665.7;169.84903954506595
2013;RS;50428332112.41;376712124.40497655;133.86437240920355
2014;RS;54775725803.33;423956450.5701351;129.20130293964817
2015;RS;62051206712.42;475962039.9339705;130.3700747249261
2016;RS;66126600088.33;536247929.69043875;123.3134832362021
1996;SC;3746107567.8;29891812.92;125.32219366639873
1997;SC;4070235316.62;33194430.11;122.61802064780198
1998;SC;4326034350.44;33818977.84;127.91735962295421
1999;SC;5817251599.32;37151230.05;156.58301465364266
2000;SC;6165272861.73;43311914.37;142.34588683986632
2001;SC;6191644242.52;48748284.57;127.01255638296608
2002;SC;8724246124.35;55731871.36;156.5396228667029
2003;SC;9121830356.56;66848545.94;136.45517981419238
2004;SC;9886880225.23;77392977.01;127.74906208805623
2005;SC;9801768809.26;85316263.44;114.88746006971165
2006;SC;9910300517.74;93146772.2;106.39445987952334
2007;SC;10035141608.08;104622926.3;95.91723308622463
2008;SC;12033646496.61;123282275.5;97.6105157680189
2009;SC;11240862961.35;129806256.3;86.59723561683214
2010;SC;11948765959.48;152482338.1;78.36163917977068
2011;SC;12285744987.88;169049529.7;72.67541654616032
2012;SC;12567758176.48;177275690.9;70.89386092743752
2013;SC;13933976622.81;213552720.78177896;65.24841534118676
2014;SC;15956179335.39;239598172.62637895;66.59558026042005
2015;SC;18839523735.36;268342623.965904;70.20697441549122
2016;SC;19717129201.91;302649061.83738357;65.14848941611527
1996;SE;975204018.2;4720442.255;206.59166356013395
1997;SE;783147525.32;5422379.069;144.42876740161745
1998;SE;765651182.23;5597441.18;136.78592728508136
1999;SE;983207013.23;5942400.086;165.45621280976806
